Sex,Age Years,Total deaths,COVID-19 Deaths,"Effected
"
1,0,17260,88,FALSE
1,0.1,17260,88,FALSE
1,0.2,17260,88,FALSE
1,0.3,17260,88,FALSE
1,0.4,17260,88,FALSE
1,0.5,17260,88,FALSE
0,0,21147,102,FALSE
0,0.01,21147,102,FALSE
0,0.02,21147,102,FALSE
0,0.03,21147,102,FALSE
0,0.04,21147,102,FALSE
0,0.05,21147,102,FALSE
1,0.06,1492,22,FALSE
1,0.07,1492,22,FALSE
1,0.08,1492,22,FALSE
1,0.09,1492,22,FALSE
1,0.1,1492,22,FALSE
1,0.11,1492,22,FALSE
0,0.06,1878,30,FALSE
0,0.07,1878,30,FALSE
0,0.08,1878,30,FALSE
0,0.09,1878,30,FALSE
0,0.1,1878,30,FALSE
0,0.11,1878,30,FALSE
1,1,1361,18,FALSE
0,1,1670,32,FALSE
1,2,848,12,FALSE
0,2,1104,9,FALSE
1,3,638,10,FALSE
0,3,909,10,FALSE
1,4,556,14,FALSE
0,4,705,8,FALSE
1,5,469,9,FALSE
0,5,667,11,FALSE
1,6,448,12,FALSE
0,6,602,10,FALSE
1,7,441,14,FALSE
0,7,530,10,FALSE
1,8,413,10,FALSE
0,8,483,13,FALSE
1,9,375,12,FALSE
0,9,521,22,FALSE
1,10,417,10,FALSE
0,10,589,14,FALSE
1,11,463,10,FALSE
0,11,661,12,FALSE
1,12,577,16,FALSE
0,12,738,19,FALSE
1,13,690,21,FALSE
0,13,1075,26,FALSE
1,14,809,26,FALSE
0,14,1469,19,FALSE
1,15,953,40,FALSE
0,15,2014,42,FALSE
1,16,1215,33,FALSE
0,16,2821,48,FALSE
1,17,1410,54,FALSE
0,17,3757,65,FALSE
1,18,1900,59,FALSE
0,18,5194,100,FALSE
1,19,2052,90,FALSE
0,19,6244,135,FALSE
1,20,2318,113,FALSE
0,20,6547,145,FALSE
1,21,2621,109,FALSE
0,21,7450,189,FALSE
1,22,2680,173,FALSE
0,22,7799,208,FALSE
1,23,2993,172,FALSE
0,23,8078,257,FALSE
1,24,3119,196,FALSE
0,24,8596,317,FALSE
1,25,3420,220,FALSE
0,25,9195,314,FALSE
1,26,3693,242,FALSE
0,26,9758,377,FALSE
1,27,4062,297,FALSE
0,27,10492,453,FALSE
1,28,4373,322,FALSE
0,28,11281,545,FALSE
1,29,4930,373,FALSE
0,29,12016,638,FALSE
1,30,5299,480,FALSE
0,30,12685,695,FALSE
1,31,5496,506,FALSE
0,31,13049,802,FALSE
1,32,5923,560,FALSE
0,32,13129,836,FALSE
1,33,6252,568,FALSE
0,33,13347,920,TRUE
1,34,6422,606,FALSE
0,34,13654,1049,TRUE
1,35,6799,673,FALSE
0,35,14052,1082,TRUE
1,36,7136,716,FALSE
0,36,14447,1194,TRUE
1,37,7578,748,FALSE
0,37,14952,1350,TRUE
1,38,7994,872,FALSE
0,38,15478,1402,TRUE
1,39,8517,948,TRUE
0,39,16466,1602,TRUE
1,40,8918,1071,TRUE
0,40,16920,1631,TRUE
1,41,9401,1115,TRUE
0,41,17364,1871,TRUE
1,42,9685,1261,TRUE
0,42,17364,2019,TRUE
1,43,10014,1344,TRUE
0,43,17852,2154,TRUE
1,44,10410,1433,TRUE
0,44,18331,2466,TRUE
1,45,10999,1492,TRUE
0,45,18915,2666,TRUE
1,46,11857,1679,TRUE
0,46,20231,2912,TRUE
1,47,12696,1762,TRUE
0,47,21513,3169,TRUE
1,48,14054,2058,TRUE
0,48,24008,3617,TRUE
1,49,15811,2291,TRUE
0,49,26824,3963,TRUE
1,50,17730,2527,TRUE
0,50,29771,4566,TRUE
1,51,18595,2587,TRUE
0,51,31151,4802,TRUE
1,52,19671,2755,TRUE
0,52,33031,5167,TRUE
1,53,20944,2915,TRUE
0,53,34832,5272,TRUE
1,54,22749,3217,TRUE
0,54,38407,5678,TRUE
1,55,25643,3518,TRUE
0,55,42557,6181,TRUE
1,56,28741,3997,TRUE
0,56,47557,7016,TRUE
1,57,31801,4315,TRUE
0,57,51403,7277,TRUE
1,58,34078,4829,TRUE
0,58,55999,7795,TRUE
1,59,37815,5249,TRUE
0,59,60103,8653,TRUE
1,60,40507,5622,TRUE
0,60,64785,9273,TRUE
1,61,43241,6080,TRUE
0,61,68350,9716,TRUE
1,62,45999,6605,TRUE
0,62,71698,10392,TRUE
1,63,48943,7074,TRUE
0,63,75842,10856,TRUE
1,64,51280,7486,TRUE
0,64,78526,11242,TRUE
1,65,52936,7738,TRUE
0,65,80156,11755,TRUE
1,66,54612,7811,TRUE
0,66,81908,11921,TRUE
1,67,56608,8041,TRUE
0,67,83240,12040,TRUE
1,68,58759,8419,TRUE
0,68,85031,12559,TRUE
1,69,61088,8745,TRUE
0,69,86121,12894,TRUE
1,70,63937,8914,TRUE
0,70,88764,13404,TRUE
1,71,67851,9480,TRUE
0,71,90504,13574,TRUE
1,72,72924,10049,TRUE
0,72,95406,14454,TRUE
1,73,78848,10632,TRUE
0,73,101735,15431,TRUE
1,74,78680,10901,TRUE
0,74,99070,15185,TRUE
1,75,73788,9933,TRUE
0,75,91107,14080,TRUE
1,76,77291,10233,TRUE
0,76,92787,14034,TRUE
1,77,84304,10933,TRUE
0,77,99278,14900,TRUE
1,78,87679,11417,TRUE
0,78,101309,15213,TRUE
1,79,86536,10994,TRUE
0,79,97563,14589,TRUE
1,80,87540,10860,TRUE
0,80,94780,14155,TRUE
1,81,89196,11049,TRUE
0,81,94415,13757,TRUE
1,82,92841,11498,TRUE
0,82,94115,13654,TRUE
1,83,95046,11480,TRUE
0,83,94033,13700,TRUE
1,84,97271,11655,TRUE
