Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths,Effected
3/23/2022,1/1/2020,3/19/2022,Female,0,17260,88,
3/23/2022,1/1/2020,3/19/2022,Female,0.1,17260,88,
3/23/2022,1/1/2020,3/19/2022,Female,0.2,17260,88,
3/23/2022,1/1/2020,3/19/2022,Female,0.3,17260,88,
3/23/2022,1/1/2020,3/19/2022,Female,0.4,17260,88,
3/23/2022,1/1/2020,3/19/2022,Female,0.5,17260,88,
3/23/2022,1/1/2020,3/19/2022,Male,0,21147,102,
3/23/2022,1/1/2020,3/19/2022,Male,0.01,21147,102,
3/23/2022,1/1/2020,3/19/2022,Male,0.02,21147,102,
3/23/2022,1/1/2020,3/19/2022,Male,0.03,21147,102,
3/23/2022,1/1/2020,3/19/2022,Male,0.04,21147,102,
3/23/2022,1/1/2020,3/19/2022,Male,0.05,21147,102,
3/23/2022,1/1/2020,3/19/2022,Female,0.06,1492,22,
3/23/2022,1/1/2020,3/19/2022,Female,0.07,1492,22,
3/23/2022,1/1/2020,3/19/2022,Female,0.08,1492,22,
3/23/2022,1/1/2020,3/19/2022,Female,0.09,1492,22,
3/23/2022,1/1/2020,3/19/2022,Female,0.1,1492,22,
3/23/2022,1/1/2020,3/19/2022,Female,0.11,1492,22,
3/23/2022,1/1/2020,3/19/2022,Male,0.06,1878,30,
3/23/2022,1/1/2020,3/19/2022,Male,0.07,1878,30,
3/23/2022,1/1/2020,3/19/2022,Male,0.08,1878,30,
3/23/2022,1/1/2020,3/19/2022,Male,0.09,1878,30,
3/23/2022,1/1/2020,3/19/2022,Male,0.1,1878,30,
3/23/2022,1/1/2020,3/19/2022,Male,0.11,1878,30,
3/23/2022,1/1/2020,3/19/2022,Female,1,1361,18,
3/23/2022,1/1/2020,3/19/2022,Male,1,1670,32,
3/23/2022,1/1/2020,3/19/2022,Female,2,848,12,
3/23/2022,1/1/2020,3/19/2022,Male,2,1104,9,
3/23/2022,1/1/2020,3/19/2022,Female,3,638,10,
3/23/2022,1/1/2020,3/19/2022,Male,3,909,10,
3/23/2022,1/1/2020,3/19/2022,Female,4,556,14,
3/23/2022,1/1/2020,3/19/2022,Male,4,705,8,
3/23/2022,1/1/2020,3/19/2022,Female,5,469,9,
3/23/2022,1/1/2020,3/19/2022,Male,5,667,11,
3/23/2022,1/1/2020,3/19/2022,Female,6,448,12,
3/23/2022,1/1/2020,3/19/2022,Male,6,602,10,
3/23/2022,1/1/2020,3/19/2022,Female,7,441,14,
3/23/2022,1/1/2020,3/19/2022,Male,7,530,10,
3/23/2022,1/1/2020,3/19/2022,Female,8,413,10,
3/23/2022,1/1/2020,3/19/2022,Male,8,483,13,
3/23/2022,1/1/2020,3/19/2022,Female,9,375,12,
3/23/2022,1/1/2020,3/19/2022,Male,9,521,22,
3/23/2022,1/1/2020,3/19/2022,Female,10,417,10,
3/23/2022,1/1/2020,3/19/2022,Male,10,589,14,
3/23/2022,1/1/2020,3/19/2022,Female,11,463,10,
3/23/2022,1/1/2020,3/19/2022,Male,11,661,12,
3/23/2022,1/1/2020,3/19/2022,Female,12,577,16,
3/23/2022,1/1/2020,3/19/2022,Male,12,738,19,
3/23/2022,1/1/2020,3/19/2022,Female,13,690,21,
3/23/2022,1/1/2020,3/19/2022,Male,13,1075,26,
3/23/2022,1/1/2020,3/19/2022,Female,14,809,26,
3/23/2022,1/1/2020,3/19/2022,Male,14,1469,19,
3/23/2022,1/1/2020,3/19/2022,Female,15,953,40,
3/23/2022,1/1/2020,3/19/2022,Male,15,2014,42,
3/23/2022,1/1/2020,3/19/2022,Female,16,1215,33,
3/23/2022,1/1/2020,3/19/2022,Male,16,2821,48,
3/23/2022,1/1/2020,3/19/2022,Female,17,1410,54,
3/23/2022,1/1/2020,3/19/2022,Male,17,3757,65,
3/23/2022,1/1/2020,3/19/2022,Female,18,1900,59,
3/23/2022,1/1/2020,3/19/2022,Male,18,5194,100,
3/23/2022,1/1/2020,3/19/2022,Female,19,2052,90,
3/23/2022,1/1/2020,3/19/2022,Male,19,6244,135,
3/23/2022,1/1/2020,3/19/2022,Female,20,2318,113,
3/23/2022,1/1/2020,3/19/2022,Male,20,6547,145,
3/23/2022,1/1/2020,3/19/2022,Female,21,2621,109,
3/23/2022,1/1/2020,3/19/2022,Male,21,7450,189,
3/23/2022,1/1/2020,3/19/2022,Female,22,2680,173,
3/23/2022,1/1/2020,3/19/2022,Male,22,7799,208,
3/23/2022,1/1/2020,3/19/2022,Female,23,2993,172,
3/23/2022,1/1/2020,3/19/2022,Male,23,8078,257,
3/23/2022,1/1/2020,3/19/2022,Female,24,3119,196,
3/23/2022,1/1/2020,3/19/2022,Male,24,8596,317,
3/23/2022,1/1/2020,3/19/2022,Female,25,3420,220,
3/23/2022,1/1/2020,3/19/2022,Male,25,9195,314,
3/23/2022,1/1/2020,3/19/2022,Female,26,3693,242,
3/23/2022,1/1/2020,3/19/2022,Male,26,9758,377,
3/23/2022,1/1/2020,3/19/2022,Female,27,4062,297,
3/23/2022,1/1/2020,3/19/2022,Male,27,10492,453,
3/23/2022,1/1/2020,3/19/2022,Female,28,4373,322,
3/23/2022,1/1/2020,3/19/2022,Male,28,11281,545,
3/23/2022,1/1/2020,3/19/2022,Female,29,4930,373,
3/23/2022,1/1/2020,3/19/2022,Male,29,12016,638,
3/23/2022,1/1/2020,3/19/2022,Female,30,5299,480,
3/23/2022,1/1/2020,3/19/2022,Male,30,12685,695,
3/23/2022,1/1/2020,3/19/2022,Female,31,5496,506,
3/23/2022,1/1/2020,3/19/2022,Male,31,13049,802,
3/23/2022,1/1/2020,3/19/2022,Female,32,5923,560,
3/23/2022,1/1/2020,3/19/2022,Male,32,13129,836,
3/23/2022,1/1/2020,3/19/2022,Female,33,6252,568,
3/23/2022,1/1/2020,3/19/2022,Male,33,13347,920,
3/23/2022,1/1/2020,3/19/2022,Female,34,6422,606,
3/23/2022,1/1/2020,3/19/2022,Male,34,13654,1049,
3/23/2022,1/1/2020,3/19/2022,Female,35,6799,673,
3/23/2022,1/1/2020,3/19/2022,Male,35,14052,1082,
3/23/2022,1/1/2020,3/19/2022,Female,36,7136,716,
3/23/2022,1/1/2020,3/19/2022,Male,36,14447,1194,
3/23/2022,1/1/2020,3/19/2022,Female,37,7578,748,
3/23/2022,1/1/2020,3/19/2022,Male,37,14952,1350,
3/23/2022,1/1/2020,3/19/2022,Female,38,7994,872,
3/23/2022,1/1/2020,3/19/2022,Male,38,15478,1402,
3/23/2022,1/1/2020,3/19/2022,Female,39,8517,948,
3/23/2022,1/1/2020,3/19/2022,Male,39,16466,1602,
3/23/2022,1/1/2020,3/19/2022,Female,40,8918,1071,
3/23/2022,1/1/2020,3/19/2022,Male,40,16920,1631,
3/23/2022,1/1/2020,3/19/2022,Female,41,9401,1115,
3/23/2022,1/1/2020,3/19/2022,Male,41,17364,1871,
3/23/2022,1/1/2020,3/19/2022,Female,42,9685,1261,
3/23/2022,1/1/2020,3/19/2022,Male,42,17364,2019,
3/23/2022,1/1/2020,3/19/2022,Female,43,10014,1344,
3/23/2022,1/1/2020,3/19/2022,Male,43,17852,2154,
3/23/2022,1/1/2020,3/19/2022,Female,44,10410,1433,
3/23/2022,1/1/2020,3/19/2022,Male,44,18331,2466,
3/23/2022,1/1/2020,3/19/2022,Female,45,10999,1492,
3/23/2022,1/1/2020,3/19/2022,Male,45,18915,2666,
3/23/2022,1/1/2020,3/19/2022,Female,46,11857,1679,
3/23/2022,1/1/2020,3/19/2022,Male,46,20231,2912,
3/23/2022,1/1/2020,3/19/2022,Female,47,12696,1762,
3/23/2022,1/1/2020,3/19/2022,Male,47,21513,3169,
3/23/2022,1/1/2020,3/19/2022,Female,48,14054,2058,
3/23/2022,1/1/2020,3/19/2022,Male,48,24008,3617,
3/23/2022,1/1/2020,3/19/2022,Female,49,15811,2291,
3/23/2022,1/1/2020,3/19/2022,Male,49,26824,3963,
3/23/2022,1/1/2020,3/19/2022,Female,50,17730,2527,
3/23/2022,1/1/2020,3/19/2022,Male,50,29771,4566,
3/23/2022,1/1/2020,3/19/2022,Female,51,18595,2587,
3/23/2022,1/1/2020,3/19/2022,Male,51,31151,4802,
3/23/2022,1/1/2020,3/19/2022,Female,52,19671,2755,
3/23/2022,1/1/2020,3/19/2022,Male,52,33031,5167,
3/23/2022,1/1/2020,3/19/2022,Female,53,20944,2915,
3/23/2022,1/1/2020,3/19/2022,Male,53,34832,5272,
3/23/2022,1/1/2020,3/19/2022,Female,54,22749,3217,
3/23/2022,1/1/2020,3/19/2022,Male,54,38407,5678,
3/23/2022,1/1/2020,3/19/2022,Female,55,25643,3518,
3/23/2022,1/1/2020,3/19/2022,Male,55,42557,6181,
3/23/2022,1/1/2020,3/19/2022,Female,56,28741,3997,
3/23/2022,1/1/2020,3/19/2022,Male,56,47557,7016,
3/23/2022,1/1/2020,3/19/2022,Female,57,31801,4315,
3/23/2022,1/1/2020,3/19/2022,Male,57,51403,7277,
3/23/2022,1/1/2020,3/19/2022,Female,58,34078,4829,
3/23/2022,1/1/2020,3/19/2022,Male,58,55999,7795,
3/23/2022,1/1/2020,3/19/2022,Female,59,37815,5249,
3/23/2022,1/1/2020,3/19/2022,Male,59,60103,8653,
3/23/2022,1/1/2020,3/19/2022,Female,60,40507,5622,
3/23/2022,1/1/2020,3/19/2022,Male,60,64785,9273,
3/23/2022,1/1/2020,3/19/2022,Female,61,43241,6080,
3/23/2022,1/1/2020,3/19/2022,Male,61,68350,9716,
3/23/2022,1/1/2020,3/19/2022,Female,62,45999,6605,
3/23/2022,1/1/2020,3/19/2022,Male,62,71698,10392,
3/23/2022,1/1/2020,3/19/2022,Female,63,48943,7074,
3/23/2022,1/1/2020,3/19/2022,Male,63,75842,10856,
3/23/2022,1/1/2020,3/19/2022,Female,64,51280,7486,
3/23/2022,1/1/2020,3/19/2022,Male,64,78526,11242,
3/23/2022,1/1/2020,3/19/2022,Female,65,52936,7738,
3/23/2022,1/1/2020,3/19/2022,Male,65,80156,11755,
3/23/2022,1/1/2020,3/19/2022,Female,66,54612,7811,
3/23/2022,1/1/2020,3/19/2022,Male,66,81908,11921,
3/23/2022,1/1/2020,3/19/2022,Female,67,56608,8041,
3/23/2022,1/1/2020,3/19/2022,Male,67,83240,12040,
3/23/2022,1/1/2020,3/19/2022,Female,68,58759,8419,
3/23/2022,1/1/2020,3/19/2022,Male,68,85031,12559,
3/23/2022,1/1/2020,3/19/2022,Female,69,61088,8745,
3/23/2022,1/1/2020,3/19/2022,Male,69,86121,12894,
3/23/2022,1/1/2020,3/19/2022,Female,70,63937,8914,
3/23/2022,1/1/2020,3/19/2022,Male,70,88764,13404,
3/23/2022,1/1/2020,3/19/2022,Female,71,67851,9480,
3/23/2022,1/1/2020,3/19/2022,Male,71,90504,13574,
3/23/2022,1/1/2020,3/19/2022,Female,72,72924,10049,
3/23/2022,1/1/2020,3/19/2022,Male,72,95406,14454,
3/23/2022,1/1/2020,3/19/2022,Female,73,78848,10632,
3/23/2022,1/1/2020,3/19/2022,Male,73,101735,15431,
3/23/2022,1/1/2020,3/19/2022,Female,74,78680,10901,
3/23/2022,1/1/2020,3/19/2022,Male,74,99070,15185,
3/23/2022,1/1/2020,3/19/2022,Female,75,73788,9933,
3/23/2022,1/1/2020,3/19/2022,Male,75,91107,14080,
3/23/2022,1/1/2020,3/19/2022,Female,76,77291,10233,
3/23/2022,1/1/2020,3/19/2022,Male,76,92787,14034,
3/23/2022,1/1/2020,3/19/2022,Female,77,84304,10933,
3/23/2022,1/1/2020,3/19/2022,Male,77,99278,14900,
3/23/2022,1/1/2020,3/19/2022,Female,78,87679,11417,
3/23/2022,1/1/2020,3/19/2022,Male,78,101309,15213,
3/23/2022,1/1/2020,3/19/2022,Female,79,86536,10994,
3/23/2022,1/1/2020,3/19/2022,Male,79,97563,14589,
3/23/2022,1/1/2020,3/19/2022,Female,80,87540,10860,
3/23/2022,1/1/2020,3/19/2022,Male,80,94780,14155,
3/23/2022,1/1/2020,3/19/2022,Female,81,89196,11049,
3/23/2022,1/1/2020,3/19/2022,Male,81,94415,13757,
3/23/2022,1/1/2020,3/19/2022,Female,82,92841,11498,
3/23/2022,1/1/2020,3/19/2022,Male,82,94115,13654,
3/23/2022,1/1/2020,3/19/2022,Female,83,95046,11480,
3/23/2022,1/1/2020,3/19/2022,Male,83,94033,13700,
3/23/2022,1/1/2020,3/19/2022,Female,84,97271,11655,
3/23/2022,1/1/2020,3/19/2022,Male,84,92340,13067,
3/23/2022,1/1/2020,3/19/2022,Female,85,1301317,140129,
3/23/2022,1/1/2020,3/19/2022,Male,85,848799,109778,
