CancerType,Duration,Race,Sex,Age,Count
Colon and Rectum,5-year Limited Duration,White,Male and Female,Overall,395789
Colon and Rectum,5-year Limited Duration,Other races,Male and Female,Overall,23972
Colon and Rectum,5-year Limited Duration,White,Male,Overall,208948
Colon and Rectum,5-year Limited Duration,Other races,Male,Overall,12541
Colon and Rectum,5-year Limited Duration,White,Female,Overall,186842
Colon and Rectum,5-year Limited Duration,Other races,Female,Overall,11432
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male and Female,All Ages,476852
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male and Female,All Ages (Age-Adjusted)
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male and Female,0-19,1112
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male and Female,20-29,3708
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male and Female,30-39,11219
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male and Female,40-49,33965
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male and Female,50-59,97578
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male and Female,60-69,128322
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male and Female,70-79,114980
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male and Female,80+,85968
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male,All Ages,249493
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male,All Ages (Age-Adjusted)
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male,0-19,464
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male,20-29,1687
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male,30-39,5559
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male,40-49,17521
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male,50-59,53663
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male,60-69,72484
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male,70-79,61052
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Male,80+,37061
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Female,All Ages,227360
